[32m01:04:25 (856182) INFO ProjectReader[39m Found 10 of 152 file(s) to be mutated.
[32m01:04:26 (856182) INFO Instrumenter[39m Instrumented 10 source file(s) with 298 mutant(s)
[32m01:04:26 (856182) INFO ConcurrencyTokenProvider[39m Creating 1 test runner process(es).
[32m01:04:27 (856182) INFO BroadcastReporter[39m Detected that current console does not support the "progress" reporter, downgrading to "progress-append-only" reporter
[32m01:04:28 (856182) INFO DryRunExecutor[39m Starting initial test run (jest test runner with "off" coverage analysis). This may take a while.
[32m01:04:34 (856182) INFO DryRunExecutor[39m Initial test run succeeded. Ran 110 tests in 6 seconds (net 1689 ms, overhead 4746 ms).
Mutation testing 33% (elapsed: ~9m, remaining: ~19m) 99/295 tested (0 survived, 4 timed out)
Mutation testing 33% (elapsed: ~9m, remaining: ~19m) 100/295 tested (0 survived, 5 timed out)
Mutation testing 33% (elapsed: ~10m, remaining: ~19m) 100/295 tested (0 survived, 5 timed out)
Mutation testing 33% (elapsed: ~10m, remaining: ~19m) 100/295 tested (0 survived, 5 timed out)
Mutation testing 33% (elapsed: ~10m, remaining: ~20m) 100/295 tested (0 survived, 5 timed out)
Mutation testing 34% (elapsed: ~10m, remaining: ~20m) 101/295 tested (0 survived, 6 timed out)
Mutation testing 34% (elapsed: ~10m, remaining: ~20m) 101/295 tested (0 survived, 6 timed out)
Mutation testing 34% (elapsed: ~10m, remaining: ~20m) 101/295 tested (0 survived, 6 timed out)
Mutation testing 34% (elapsed: ~11m, remaining: ~21m) 101/295 tested (0 survived, 6 timed out)
Mutation testing 34% (elapsed: ~11m, remaining: ~21m) 102/295 tested (0 survived, 7 timed out)
Mutation testing 34% (elapsed: ~11m, remaining: ~21m) 102/295 tested (0 survived, 7 timed out)
Mutation testing 34% (elapsed: ~11m, remaining: ~21m) 102/295 tested (0 survived, 7 timed out)
Mutation testing 34% (elapsed: ~11m, remaining: ~22m) 102/295 tested (0 survived, 7 timed out)
Mutation testing 34% (elapsed: ~11m, remaining: ~22m) 102/295 tested (0 survived, 7 timed out)
Mutation testing 35% (elapsed: ~12m, remaining: ~21m) 105/295 tested (0 survived, 8 timed out)
Mutation testing 36% (elapsed: ~12m, remaining: ~20m) 109/295 tested (0 survived, 8 timed out)
Mutation testing 37% (elapsed: ~12m, remaining: ~20m) 111/295 tested (0 survived, 8 timed out)
Mutation testing 37% (elapsed: ~12m, remaining: ~20m) 111/295 tested (0 survived, 8 timed out)
Mutation testing 37% (elapsed: ~12m, remaining: ~20m) 111/295 tested (0 survived, 8 timed out)
Mutation testing 37% (elapsed: ~12m, remaining: ~21m) 111/295 tested (0 survived, 8 timed out)
Mutation testing 37% (elapsed: ~13m, remaining: ~21m) 112/295 tested (0 survived, 9 timed out)
Mutation testing 38% (elapsed: ~13m, remaining: ~20m) 115/295 tested (0 survived, 9 timed out)
Mutation testing 39% (elapsed: ~13m, remaining: ~20m) 117/295 tested (0 survived, 9 timed out)
Mutation testing 39% (elapsed: ~13m, remaining: ~20m) 117/295 tested (0 survived, 9 timed out)
Mutation testing 39% (elapsed: ~13m, remaining: ~20m) 117/295 tested (0 survived, 9 timed out)
Mutation testing 39% (elapsed: ~13m, remaining: ~21m) 117/295 tested (0 survived, 9 timed out)
Mutation testing 40% (elapsed: ~14m, remaining: ~21m) 118/295 tested (0 survived, 10 timed out)
Mutation testing 41% (elapsed: ~14m, remaining: ~20m) 122/295 tested (0 survived, 10 timed out)
Mutation testing 42% (elapsed: ~14m, remaining: ~19m) 125/295 tested (0 survived, 10 timed out)
Mutation testing 43% (elapsed: ~14m, remaining: ~18m) 128/295 tested (0 survived, 10 timed out)
Mutation testing 44% (elapsed: ~14m, remaining: ~18m) 132/295 tested (0 survived, 10 timed out)
Mutation testing 45% (elapsed: ~14m, remaining: ~17m) 135/295 tested (0 survived, 10 timed out)
Mutation testing 46% (elapsed: ~15m, remaining: ~17m) 138/295 tested (0 survived, 10 timed out)
Mutation testing 47% (elapsed: ~15m, remaining: ~17m) 139/295 tested (0 survived, 10 timed out)
Mutation testing 47% (elapsed: ~15m, remaining: ~17m) 139/295 tested (0 survived, 10 timed out)
